elevation,latitude,longitude,precipitation,pressure,soil_moisture,temperature,wind_speed,humidity,precip_3day_avg,precip_7day_avg,temp_3day_avg,soil_3day_avg,month,is_monsoon,water_area_change,water_area_pct_change,days_since_last_flood,flood_event
109.1929732,26.24925128,68.0,0.0,99381.20269,0.084709567,28.37394179,3.464761687,34.1441003,0.0,0.0,27.51131997,0.084725522,3,0,472.5531578,172.0966412,8.0,0
,,,16.5,101612.1,0.2054,29.46,1.07,51.67,9.53,5.11,30.84,0.2063,10,0,,,,0
109.1929732,26.24925128,68.0,7.47e-05,99206.54853,0.087304625,30.9522709,1.940836364,44.58225644,0.000276749,0.044662342,31.90401808,0.088666291,9,1,-117.80343,-0.956309505,8.0,0
,,,9.04,101751.7,0.1568,31.89,0.22,36.8,5.17,3.88,32.07,0.1404,11,0,,,,0
,,,1.99,102504.8,0.0959,34.24,0.21,20.0,1.4,0.9,32.26,0.1054,11,0,,,,0
109.1929732,26.24925128,68.0,0.000170996,100252.6728,0.087680051,20.91329016,0.439625379,46.48795286,5.7e-05,0.000575609,20.49761461,0.087996786,2,0,-285.9485521,-0.301508928,1.0,0
,,,167.44,99537.8,0.6995,20.69,4.25,78.71,121.72,80.35,22.5,0.7271,9,1,,,,1
,,,16.98,101246.5,0.2503,27.97,2.32,46.53,11.0,7.2,27.96,0.2392,8,1,,,,0
,,,17.48,101464.4,0.247,34.26,0.54,52.03,14.41,12.14,34.37,0.2495,4,0,,,,0
109.1929732,26.24925128,68.0,0.0,98592.93941,0.081995873,34.53370099,4.192158247,20.02615183,3.02e-05,3.52e-05,35.42922673,0.082115478,5,0,-220.4805147,-0.283526823,1.0,0
,,,274.85,98981.1,0.8821,21.4,8.24,94.58,151.23,125.53,20.49,0.8958,6,1,,,,1
,,,227.0,99153.0,0.734,28.62,6.01,90.28,182.69,119.26,28.44,0.7438,9,1,,,,1
,,,17.98,100572.5,0.2211,36.27,2.09,50.37,10.87,6.19,36.9,0.2392,11,0,,,,0
109.1929732,26.24925128,68.0,0.0,99524.72256,0.084891052,30.74811053,2.226166919,49.33794559,7.95e-07,3.41e-07,30.27943132,0.084906354,10,0,-163.4205129,-0.598783944,6.0,0
,,,12.13,101087.8,0.1686,33.25,1.06,42.03,8.29,4.74,31.48,0.1501,3,0,,,,0
109.1929732,26.24925128,68.0,0.001689133,99020.12405,0.087927563,32.73125006,3.564590449,36.80646375,0.000673275,0.000600821,33.30231002,0.086914158,4,0,467.0792279,0.996118731,0.0,1
109.1929732,26.24925128,68.0,0.001593877,98895.67161,0.093094461,32.43319351,1.739352791,54.68466077,0.001618039,0.001910959,32.05529531,0.094471572,9,1,-148.5172013,-0.257512,5.0,0
,,,194.61,99257.0,0.7138,29.47,5.97,89.28,128.78,88.6,30.99,0.6885,8,1,,,,1
109.1929732,26.24925128,68.0,0.0,99761.86216,0.085748443,29.04590131,0.994323167,46.74689718,0.0,1.87e-05,29.13656799,0.085747687,10,0,266.4347901,0.563472331,3.0,0
,,,339.79,98069.0,0.9401,20.0,9.64,100.0,250.0,180.0,20.13,0.9592,6,1,,,,1
,,,12.77,101489.0,0.2076,26.04,1.85,43.71,6.78,5.77,26.2,0.2149,7,1,,,,0
109.1929732,26.24925128,68.0,0.0,99183.794,0.084767181,29.97739542,3.008371255,31.871163,0.000513406,0.000220031,29.95681374,0.084865655,3,0,-223.9171881,-0.401512125,2.0,0
,,,5.97,102116.5,0.144,26.24,0.89,34.2,4.15,3.68,27.04,0.1353,1,0,,,,0
,,,11.37,101579.8,0.1872,27.09,0.48,34.45,8.09,4.22,25.26,0.1737,11,0,,,,0
,,,87.69,100500.0,0.6,26.12,3.0,75.0,55.2,42.62,25.43,0.6068,2,0,,,,1
,,,9.37,101901.3,0.1353,27.45,0.32,40.47,8.31,4.87,29.16,0.1275,11,0,,,,0
,,,152.5,99868.2,0.6997,20.69,5.74,78.65,87.52,50.36,20.75,0.713,6,1,,,,1
,,,130.55,100047.4,0.6155,29.01,3.43,78.12,86.67,48.92,30.45,0.6297,8,1,,,,1
,,,20.34,100500.0,0.2645,30.68,2.0,57.69,13.39,11.97,31.66,0.2725,9,1,,,,0
109.1929732,26.24925128,68.0,0.001804717,98621.60793,0.093288764,31.9076276,2.35752295,61.7481195,0.00126013,0.000681404,31.58173704,0.094666927,8,1,-191.6705614,-0.211513242,1.0,0
,,,26.77,100500.0,0.2825,35.29,4.18,65.76,20.0,15.0,33.42,0.2751,11,0,,,,0
,,,235.82,98754.5,0.8377,30.83,4.86,88.01,176.57,135.42,30.87,0.8113,10,0,,,,1
,,,141.46,100256.9,0.6779,22.47,3.0,83.26,90.79,64.95,22.4,0.688,9,1,,,,1
,,,168.4,99495.2,0.6987,20.0,5.44,79.99,96.72,79.42,21.24,0.6744,6,1,,,,1
,,,5.39,102304.8,0.1051,25.91,0.89,34.81,4.04,2.59,25.3,0.1157,12,0,,,,0
,,,24.85,101236.4,0.3161,30.02,2.95,60.05,16.82,12.77,31.91,0.3025,9,1,,,,0
,,,19.84,101604.5,0.2568,25.33,2.87,56.89,14.12,9.61,26.47,0.2492,9,1,,,,0
,,,12.51,101398.9,0.1762,23.37,0.78,47.92,8.14,6.32,22.45,0.1878,2,0,,,,0
109.1929732,26.24925128,68.0,0.0,100550.8202,0.086100333,16.70322359,1.537694553,64.29428074,6.05e-05,6.07e-05,16.75747385,0.086187048,1,0,-434.1940469,-0.316935574,0.0,1
,,,113.31,100102.7,0.658,23.7,3.0,79.93,65.17,53.08,23.51,0.6671,7,1,,,,1
,,,28.32,100565.6,0.35,27.21,4.23,67.06,20.0,15.0,27.97,0.3547,3,0,,,,0
109.1929732,26.24925128,68.0,0.420533514,98568.92252,0.204366144,31.62476346,1.158424061,75.1861958,0.278533002,0.121537101,33.63607943,0.127170574,7,1,-236.1399781,-0.692438796,3.0,0
,,,131.98,99816.5,0.68,22.02,4.0,79.15,89.26,72.38,23.41,0.708,8,1,,,,1
,,,13.11,101838.8,0.2083,30.65,1.8,42.69,9.24,7.03,30.7,0.208,11,0,,,,0
,,,29.99,100627.5,0.3263,22.95,4.83,70.0,20.0,15.0,22.04,0.3083,4,0,,,,0
,,,99.04,100500.0,0.6736,31.7,3.6,77.97,80.86,54.96,33.31,0.6559,9,1,,,,1
,,,91.04,100500.0,0.6231,20.83,3.79,75.0,60.26,50.96,19.19,0.6276,8,1,,,,1
109.1929732,26.24925128,68.0,1.284957676,98465.0288,0.179764519,30.93899448,0.64050661,72.16601424,0.491107608,0.226949124,33.11299338,0.114093821,7,1,-245.7396588,-0.404918945,2.0,0
,,,21.7,100551.2,0.2742,33.77,1.72,60.45,15.18,8.76,35.09,0.2793,2,0,,,,0
,,,97.39,100307.0,0.6377,22.54,3.89,77.07,61.28,48.61,21.79,0.6383,10,0,,,,1
,,,21.1,101655.9,0.2608,31.7,2.01,55.3,15.82,10.03,33.58,0.2494,5,0,,,,0
,,,343.1,98000.0,0.95,28.6,9.17,91.63,228.87,130.47,29.5,0.9761,6,1,,,,1
,,,28.41,100902.7,0.35,22.86,3.38,70.0,20.0,10.92,22.07,0.3366,7,1,,,,0
,,,121.57,100105.7,0.6529,23.81,3.0,77.6,99.59,79.26,24.93,0.6578,6,1,,,,1
,,,129.52,100109.9,0.6601,24.91,6.9,79.78,73.6,47.61,24.58,0.6386,8,1,,,,1
109.1929732,26.24925128,68.0,0.000250347,98963.8364,0.100434186,30.81072758,3.909309324,63.12694035,0.000258391,0.000514103,30.76370629,0.102972808,8,1,-260.2636716,-0.159076635,0.0,1
109.1929732,26.24925128,68.0,0.0,100456.9948,0.086872924,12.28469162,2.359397589,28.24177956,0.0,0.000242547,13.30339003,0.086905164,1,0,311.1836002,3.36977301,5.0,0
,,,25.06,100958.1,0.311,35.26,2.53,66.33,17.7,10.36,33.26,0.3027,11,0,,,,0
,,,292.07,98353.4,0.9306,26.96,7.24,97.7,168.01,95.82,27.12,0.9023,6,1,,,,1
,,,325.64,98474.3,0.8727,31.34,5.51,93.3,230.62,157.18,31.09,0.892,6,1,,,,1
,,,10.95,101523.4,0.1757,29.26,0.91,43.8,5.88,3.84,27.32,0.1647,3,0,,,,0
109.1929732,26.24925128,68.0,1.12e-05,100022.0693,0.107028296,17.66974511,0.660720648,66.25865285,7.45e-06,4.6e-05,17.24024639,0.107839988,1,0,136.7416362,1.121424624,4.0,0
,,,11.98,101256.8,0.1894,26.67,1.34,30.59,8.68,7.2,27.46,0.1884,12,0,,,,0
,,,116.41,100500.0,0.6483,21.35,3.0,80.05,69.24,41.43,19.56,0.6211,1,0,,,,1
,,,265.32,98921.6,0.8453,24.84,4.83,87.82,220.3,167.51,23.97,0.8247,5,0,,,,1
,,,133.35,99991.8,0.6521,20.02,5.54,81.35,88.6,68.28,20.1,0.6754,7,1,,,,1
,,,116.57,100244.0,0.6372,27.72,4.14,75.0,78.37,58.73,27.68,0.6286,7,1,,,,1
,,,290.34,99252.5,0.8341,30.15,9.33,98.89,222.12,130.08,31.53,0.8399,6,1,,,,1
,,,18.38,100995.5,0.2672,20.54,0.69,52.97,9.48,5.44,19.21,0.2629,1,0,,,,0
,,,220.99,99051.5,0.8103,27.32,6.57,86.17,177.18,113.84,25.5,0.7888,7,1,,,,1
,,,7.26,101511.2,0.1383,21.78,0.34,33.14,4.29,3.44,20.27,0.1509,6,1,,,,0
,,,284.25,99005.0,0.8251,20.25,7.7,93.12,222.35,156.0,21.53,0.8261,10,0,,,,1
109.1929732,26.24925128,68.0,0.0,99417.716,0.084831162,30.69721794,3.183051441,31.70233865,0.00155714,0.00145204,31.0473665,0.085051856,4,0,-110.5783322,-0.497794826,7.0,0
,,,12.2,101038.8,0.2307,36.41,1.04,41.47,10.21,7.28,35.73,0.2383,12,0,,,,0
,,,19.23,100500.0,0.2575,25.11,1.87,49.72,10.47,7.61,26.76,0.2426,1,0,,,,0
,,,207.21,99260.3,0.776,23.24,3.24,86.92,153.38,98.63,21.83,0.7987,6,1,,,,1
,,,28.4,100500.0,0.3134,19.07,1.23,59.87,17.38,9.93,18.83,0.333,12,0,,,,0
,,,247.3,98842.7,0.8511,21.83,5.52,91.87,159.32,127.37,23.36,0.8414,6,1,,,,1
,,,188.99,99590.4,0.7034,31.31,6.51,86.14,127.66,70.95,32.05,0.7027,9,1,,,,1
,,,135.72,100443.8,0.6311,30.54,3.49,81.4,103.1,75.92,31.88,0.6447,1,0,,,,1
,,,164.41,99090.5,0.7182,27.19,4.45,82.75,134.27,74.44,29.0,0.7228,6,1,,,,1
,,,172.51,100020.4,0.7499,23.8,6.0,82.96,144.65,102.83,25.16,0.7704,6,1,,,,1
,,,178.72,99108.9,0.7204,28.3,6.49,81.51,120.96,86.8,26.86,0.7007,2,0,,,,1
,,,339.29,98063.9,0.95,31.7,9.72,93.03,197.43,122.85,30.07,0.9789,7,1,,,,1
,,,345.74,98225.0,0.892,20.48,6.83,100.0,250.0,150.15,19.99,0.8958,7,1,,,,1
109.1929732,26.24925128,68.0,0.008485755,100164.2771,0.091656774,23.84343844,1.502590029,37.7844746,0.002847034,0.018559287,22.67112516,0.093974071,3,0,-222.8525245,-0.287581491,1.0,0
109.1929732,26.24925128,68.0,1.226815531,98745.85758,0.410387573,27.99322201,2.47115592,89.77197454,1.965195671,1.056584681,28.4084908,0.369815218,7,1,203.0739657,2.268983998,5.0,0
,,,14.15,101847.7,0.2469,26.62,2.12,40.3,12.5,9.78,25.84,0.2428,9,1,,,,0
,,,16.12,101646.3,0.2183,27.38,1.97,47.46,10.36,5.9,28.13,0.2065,5,0,,,,0
,,,327.76,98000.0,0.9279,32.84,6.28,96.12,242.36,135.21,34.69,0.946,8,1,,,,1
,,,202.83,99042.6,0.7405,33.07,6.68,89.63,172.18,126.35,31.67,0.7211,8,1,,,,1
,,,134.38,100108.8,0.6241,28.36,4.0,76.38,86.31,70.9,28.74,0.6273,9,1,,,,1
,,,1.07,102343.9,0.1199,33.39,0.32,25.99,0.67,0.35,32.99,0.1259,8,1,,,,0
,,,17.22,101065.7,0.2632,22.9,2.68,47.1,9.79,5.02,21.24,0.2482,1,0,,,,0
,,,21.45,101333.5,0.2474,19.03,0.45,58.17,16.6,9.81,17.42,0.2333,3,0,,,,0
,,,95.1,100401.6,0.633,34.12,4.23,78.37,52.64,40.0,33.74,0.6607,10,0,,,,1
,,,15.13,102114.9,0.2185,33.28,1.86,51.79,10.17,7.45,32.82,0.2351,8,1,,,,0
,,,5.16,102253.3,0.1062,26.12,0.0,27.28,3.12,2.17,27.1,0.0952,1,0,,,,0
109.1929732,26.24925128,68.0,0.254276368,98738.33165,0.141196052,30.83328804,1.973536018,68.4830566,0.192130941,0.090770774,31.20837892,0.142572843,8,1,667.8333297,0.657479647,0.0,1
,,,14.6,101550.5,0.1888,19.33,2.79,41.73,10.56,9.14,20.45,0.1849,7,1,,,,0
,,,346.25,98000.0,0.95,22.86,10.08,95.69,240.75,145.57,23.19,0.9758,9,1,,,,1
,,,28.96,101278.6,0.3329,23.64,4.6,65.56,19.6,15.0,23.76,0.3214,4,0,,,,0
,,,135.92,100320.2,0.6739,33.97,3.31,78.92,110.73,65.5,33.61,0.7034,7,1,,,,1
109.1929732,26.24925128,68.0,0.040132794,99027.66811,0.16936868,31.20288029,2.25442184,64.75446702,0.128989356,0.084650842,31.26789787,0.169066596,9,1,-347.2209225,-0.245384189,0.0,1
,,,12.17,101863.5,0.1815,37.11,1.61,40.52,9.4,5.15,38.52,0.1631,6,1,,,,0
109.1929732,26.24925128,68.0,2.24e-06,98964.14023,0.088068291,31.28339095,1.241404211,57.06568054,1.49e-06,0.00036941,30.97291699,0.089019755,8,1,-133.7604136,-0.485670142,7.0,0
,,,243.0,98725.9,0.8623,30.52,3.88,88.55,178.0,104.81,31.97,0.8524,7,1,,,,1
,,,17.16,100996.6,0.2299,37.23,1.57,44.64,14.38,12.73,37.01,0.2142,9,1,,,,0
109.1929732,26.24925128,68.0,0.091344382,98870.96247,0.32083737,29.61329259,4.313749833,73.48757865,0.080719222,0.305750194,29.23383725,0.337013511,7,1,-143.2962922,-0.33011321,6.0,0
,,,27.62,100500.0,0.35,31.1,2.78,63.81,19.18,9.63,29.18,0.3331,9,1,,,,0
,,,343.87,98584.0,0.9255,22.97,7.94,98.79,250.0,174.35,22.85,0.9126,6,1,,,,1
,,,140.45,100232.6,0.6548,31.77,5.37,80.45,88.08,67.32,31.95,0.6537,9,1,,,,1
,,,25.98,101727.4,0.3123,30.6,1.83,69.25,14.02,11.35,30.39,0.3134,4,0,,,,0
,,,197.68,99515.1,0.7751,26.07,7.03,88.59,117.76,85.74,24.13,0.7873,6,1,,,,1
109.1929732,26.24925128,68.0,0.064778289,99683.73637,0.094293746,28.59895348,0.173182076,44.50539911,0.033526545,0.087449065,28.48125669,0.09897123,4,0,334.2437919,870.3211107,9.0,0
,,,160.13,99100.1,0.6869,33.63,5.42,77.37,116.0,76.41,33.21,0.6883,6,1,,,,1
,,,199.73,98950.1,0.7637,27.8,4.53,85.87,147.24,122.12,28.2,0.7832,8,1,,,,1
,,,27.03,100500.0,0.35,24.67,2.64,60.56,19.62,14.95,26.05,0.3364,1,0,,,,0
109.1929732,26.24925128,68.0,0.000564802,100249.9239,0.087362097,20.01679934,3.332657223,61.07498073,0.000383134,0.000217698,20.16354924,0.087280204,12,0,-123.8572793,-0.495373441,9.0,0
,,,16.45,101525.2,0.2395,21.52,0.48,48.87,13.69,8.35,20.28,0.2572,2,0,,,,0
,,,298.55,98414.9,0.8827,26.0,6.8,94.97,250.0,174.82,24.64,0.896,6,1,,,,1
,,,274.84,98740.8,0.9009,27.94,3.12,94.32,210.69,170.11,28.91,0.8749,1,0,,,,1
,,,21.24,100572.7,0.2953,28.47,2.86,60.33,12.96,7.41,26.77,0.3082,6,1,,,,0
,,,15.8,101029.2,0.2615,37.27,2.21,40.6,10.73,8.05,35.41,0.2455,6,1,,,,0
,,,21.3,101278.1,0.297,23.99,0.27,55.89,13.25,7.17,22.12,0.3001,12,0,,,,0
,,,1.37,102552.9,0.0995,25.86,0.0,22.54,0.94,0.74,24.34,0.0875,1,0,,,,0
,,,104.83,100455.4,0.616,25.98,5.33,78.13,63.17,42.19,27.76,0.621,8,1,,,,1
,,,182.08,99239.3,0.7114,29.01,4.58,84.54,125.42,84.88,29.73,0.7226,7,1,,,,1
,,,323.33,98288.6,0.9053,20.57,5.77,97.32,191.08,151.32,21.28,0.891,8,1,,,,1
,,,93.1,100500.0,0.6062,24.92,3.88,75.78,73.74,56.79,23.67,0.5988,6,1,,,,1
,,,27.0,100500.0,0.3219,18.34,2.48,64.42,20.0,15.0,16.38,0.3284,10,0,,,,0
,,,16.23,100999.1,0.2325,24.86,2.33,41.6,12.63,6.77,23.81,0.2433,3,0,,,,0
,,,265.87,99128.9,0.8294,31.2,7.28,88.71,185.82,124.27,31.08,0.8239,6,1,,,,1
,,,26.98,100720.6,0.3251,21.43,3.61,69.62,20.0,13.46,21.2,0.3385,1,0,,,,0
,,,8.23,102278.0,0.1594,30.3,0.48,34.16,6.84,5.55,29.9,0.1737,9,1,,,,0
,,,4.81,101678.8,0.0981,21.63,0.63,32.98,3.53,2.75,20.99,0.1138,3,0,,,,0
,,,25.94,101412.1,0.3234,24.31,0.65,56.82,13.89,10.7,24.85,0.3188,11,0,,,,0
,,,279.66,99013.2,0.8745,28.05,7.74,92.11,156.28,104.35,26.34,0.8644,8,1,,,,1
,,,5.54,102620.6,0.1246,26.15,1.04,25.3,4.12,3.33,24.27,0.118,1,0,,,,0
109.1929732,26.24925128,68.0,3.56e-05,98638.24819,0.080090345,35.89945872,3.537672319,32.9406218,0.001865749,0.000799607,37.26365081,0.080285843,5,0,-207.0181811,-0.68145959,4.0,0
,,,4.55,102257.3,0.147,29.54,0.22,24.43,3.84,2.95,31.53,0.1614,10,0,,,,0
,,,23.62,100586.9,0.2811,30.51,3.72,62.24,17.72,9.72,30.01,0.2628,12,0,,,,0
,,,316.62,98897.5,0.9006,22.94,10.56,98.89,219.89,131.37,23.0,0.8761,4,0,,,,1
,,,23.65,100767.6,0.2963,27.82,2.98,65.53,16.22,8.6,27.53,0.2848,10,0,,,,0
,,,13.07,101283.4,0.1591,37.23,3.03,46.56,7.66,6.3,36.71,0.1627,11,0,,,,0
,,,17.1,101071.6,0.267,27.06,0.59,42.99,8.71,4.46,27.33,0.2692,9,1,,,,0
,,,6.45,102207.3,0.1253,28.17,0.55,34.45,4.71,3.34,27.95,0.1334,6,1,,,,0
,,,15.61,101818.3,0.1916,21.37,1.45,47.79,12.87,7.13,22.1,0.1791,6,1,,,,0
109.1929732,26.24925128,68.0,0.088911913,99538.26851,0.117652591,30.32373904,0.962968572,57.63758978,0.078204101,0.046322872,31.6598639,0.116557295,5,0,318.1507323,0.997530077,10.0,0
,,,8.16,100981.9,0.1372,30.15,0.02,30.72,6.43,5.35,28.37,0.1321,2,0,,,,0
109.1929732,26.24925128,68.0,0.169876829,98639.67621,0.31267816,30.15089336,5.645487959,73.31908632,0.073949083,0.397135945,30.18779094,0.34160619,7,1,454.0425634,829.899349,8.0,0
,,,12.03,101783.8,0.1984,22.39,1.99,36.79,8.57,5.68,22.91,0.1875,8,1,,,,0
,,,100.15,100409.0,0.6377,28.04,3.41,77.93,79.67,57.3,28.04,0.6332,1,0,,,,1
,,,27.3,100596.7,0.3135,26.88,1.11,63.29,15.17,10.44,24.92,0.3275,2,0,,,,0
,,,230.29,99072.4,0.8069,29.77,6.3,90.3,140.12,111.55,30.72,0.7853,8,1,,,,1
109.1929732,26.24925128,68.0,0.0,99791.4373,0.097490142,18.68880295,1.246173063,31.10501875,4.1e-05,4.02e-05,20.06844762,0.10009946,2,0,483.3854963,317.5537033,8.0,0
,,,295.29,98149.7,0.8696,25.69,7.73,91.62,228.9,138.76,25.32,0.8402,6,1,,,,1
,,,254.82,99019.8,0.7948,29.76,9.75,95.09,160.36,92.11,27.78,0.7846,7,1,,,,1
,,,278.14,98763.6,0.8507,22.75,7.03,90.66,233.38,166.83,22.75,0.8609,9,1,,,,1
,,,163.9,100070.2,0.7267,26.31,6.76,87.28,125.02,82.4,25.8,0.7517,8,1,,,,1
,,,293.54,98222.3,0.8335,29.11,5.47,97.76,220.31,151.26,29.33,0.8603,7,1,,,,1
,,,8.36,101355.8,0.1572,31.83,0.67,27.9,5.95,3.18,30.38,0.1478,1,0,,,,0
,,,258.47,98231.1,0.8301,21.21,7.26,95.22,184.54,153.05,22.84,0.8291,8,1,,,,1
,,,9.3,101740.0,0.1807,18.88,1.54,29.97,7.64,4.62,18.37,0.1979,6,1,,,,0
109.1929732,26.24925128,68.0,0.000168585,98636.62612,0.082433513,35.33566081,3.958953079,33.27744393,0.000273478,0.000164459,35.02806673,0.081980409,5,0,-236.6275089,-0.407429407,2.0,0
,,,1.09,102368.2,0.1252,23.33,0.0,22.2,0.96,0.71,25.27,0.1283,8,1,,,,0
,,,198.24,99434.7,0.6798,21.92,7.58,86.1,125.01,78.6,23.63,0.6796,5,0,,,,1
