precipitation,pressure,soil_moisture,temperature,wind_speed,humidity,precip_3day_avg,precip_7day_avg,temp_3day_avg,soil_3day_avg,month,is_monsoon,flood_event
28.55,100551.9,0.35,20.56,2.69,68.63,20.0,13.41,22.11,0.3612,8,1,0
103.08,100437.0,0.6541,34.35,3.0,76.91,80.27,54.65,35.96,0.6665,6,1,1
297.79,98157.4,0.8891,28.06,10.71,99.12,246.97,171.23,28.29,0.8723,10,0,1
208.02,98767.0,0.7564,28.23,4.72,92.39,129.16,86.32,26.77,0.7704,9,1,1
3.21,102280.8,0.134,29.18,0.57,20.0,2.23,1.32,30.64,0.1397,8,1,0
19.13,100630.0,0.2149,18.17,1.36,48.99,16.58,13.99,16.33,0.2066,9,1,0
84.45,99870.1,0.6331,24.63,3.93,77.45,55.24,45.01,24.99,0.6369,6,1,1
211.64,99112.1,0.7646,22.35,6.62,83.62,159.59,90.05,21.88,0.7814,6,1,1
5.1,102192.7,0.1111,24.15,0.48,28.27,4.28,3.2,25.43,0.0933,7,1,0
12.25,101624.0,0.184,21.84,0.64,46.15,10.8,6.16,21.22,0.1651,2,0,0
133.68,99896.6,0.6805,24.39,3.98,79.28,86.02,70.82,24.83,0.6519,7,1,1
110.18,100490.9,0.6345,20.73,3.0,77.21,93.51,67.52,20.08,0.6397,7,1,1
109.03,100389.4,0.6871,32.47,3.0,75.0,84.76,49.85,33.9,0.6944,2,0,1
309.85,99001.6,0.8841,27.17,11.57,100.0,234.01,140.29,27.36,0.8872,7,1,1
200.65,99673.6,0.7658,23.59,5.6,82.95,131.76,85.85,24.59,0.7404,8,1,1
317.29,98092.9,0.909,31.05,7.41,96.03,250.0,180.0,29.82,0.8996,8,1,1
208.8,99142.0,0.7203,28.98,3.99,84.43,122.6,69.03,28.28,0.7128,7,1,1
23.45,100570.5,0.3076,28.62,1.36,55.68,19.59,15.0,29.52,0.2956,4,0,0
292.1,98812.0,0.9263,20.0,6.51,93.06,213.18,123.94,20.84,0.9228,8,1,1
22.76,101087.5,0.2934,29.69,2.13,44.75,14.17,8.66,29.19,0.292,11,0,0
26.37,101215.6,0.3366,30.83,1.28,62.8,15.31,10.36,29.27,0.335,9,1,0
14.51,101774.9,0.1802,19.19,0.72,46.65,8.25,7.14,20.11,0.1806,2,0,0
253.83,98452.4,0.7866,27.64,8.18,90.85,158.88,115.24,29.06,0.8051,8,1,1
230.71,98551.3,0.7627,22.59,4.72,89.69,175.58,98.44,21.67,0.7613,9,1,1
15.86,101645.6,0.2352,27.27,2.07,51.06,13.85,9.18,29.12,0.2395,3,0,0
11.79,101420.7,0.1769,20.73,1.02,34.05,6.21,3.77,22.27,0.1868,1,0,0
233.32,99019.1,0.7982,32.87,7.2,91.5,160.98,136.41,31.9,0.7701,7,1,1
161.16,99679.2,0.6834,32.6,5.31,86.79,110.97,64.09,31.42,0.7041,6,1,1
191.73,99539.7,0.7782,23.5,5.86,88.51,113.24,95.06,24.92,0.7519,7,1,1
20.86,101394.5,0.3066,24.49,0.88,64.73,13.6,7.34,25.81,0.3035,4,0,0
5.91,101753.2,0.1289,30.18,0.39,20.0,3.07,2.16,28.83,0.1157,8,1,0
20.49,101366.3,0.2613,35.87,1.62,49.36,12.08,6.62,34.16,0.2617,9,1,0
18.91,101217.5,0.2662,19.59,2.06,50.54,16.04,12.55,21.21,0.26,12,0,0
317.71,98129.2,0.9277,22.29,8.03,93.38,248.6,180.0,21.88,0.9567,9,1,1
253.05,98427.9,0.8127,24.69,7.27,88.88,169.8,107.81,26.64,0.7931,9,1,1
171.93,100076.5,0.7004,30.19,4.66,84.06,94.97,61.96,31.51,0.7201,9,1,1
20.64,101334.9,0.2708,18.24,0.91,55.24,13.33,7.92,16.29,0.2619,8,1,0
27.17,100760.4,0.3126,36.75,4.66,64.87,20.0,15.0,37.65,0.322,8,1,0
157.67,99473.1,0.683,31.33,5.03,78.81,111.9,70.44,30.6,0.7105,7,1,1
27.34,100500.0,0.3038,31.86,2.89,62.62,20.0,11.99,33.61,0.3067,3,0,0
18.06,101369.6,0.236,27.1,0.0,55.18,12.54,6.68,25.25,0.2411,11,0,0
334.9,98003.7,0.9021,22.46,5.97,99.78,190.46,161.45,22.82,0.8832,8,1,1
26.98,100720.6,0.3251,21.43,3.61,69.62,20.0,13.46,21.2,0.3385,1,0,0
202.14,99225.4,0.7569,30.76,6.96,81.84,137.93,109.32,30.9,0.7456,6,1,1
15.78,100833.9,0.2199,31.66,1.28,36.01,9.72,5.72,32.49,0.2339,1,0,0
25.13,101201.4,0.3179,26.78,1.07,64.93,20.0,12.73,26.18,0.3124,11,0,0
11.92,101369.3,0.2146,18.45,0.6,42.35,7.57,6.44,19.78,0.2111,3,0,0
6.96,103000.0,0.1323,26.05,1.27,36.57,6.19,5.0,27.77,0.1447,12,0,0
2.04,102030.8,0.0926,23.36,1.02,23.19,1.15,0.8,21.5,0.1002,11,0,0
94.01,99990.6,0.6118,32.33,3.0,75.92,66.4,40.03,33.79,0.6281,8,1,1
224.0,98884.9,0.8229,33.92,4.86,92.98,137.92,102.81,33.01,0.8507,9,1,1
24.38,101177.9,0.2866,36.77,0.97,61.41,17.33,10.17,37.62,0.2749,1,0,0
84.64,100466.6,0.6643,32.47,3.31,75.39,59.57,45.77,34.19,0.6931,3,0,1
124.82,99928.8,0.6303,20.0,4.82,85.71,81.61,47.2,21.28,0.6499,10,0,1
17.24,101105.1,0.2191,35.28,1.64,49.97,11.37,8.04,36.85,0.2118,6,1,0
246.32,99174.6,0.7708,31.44,6.96,89.41,200.51,140.79,29.98,0.7624,8,1,1
224.79,99034.5,0.7951,32.67,7.18,87.33,161.98,99.89,30.99,0.7712,6,1,1
159.58,99831.0,0.6994,29.89,3.0,85.42,130.39,74.78,29.13,0.6823,7,1,1
164.17,99556.2,0.693,22.87,4.47,81.59,95.42,80.5,22.66,0.6763,4,0,1
1.92,102538.2,0.0932,34.72,0.0,22.49,1.19,1.02,35.46,0.0802,10,0,0
28.77,100520.8,0.3297,28.37,4.16,70.0,14.68,12.76,26.45,0.3351,7,1,0
303.01,98250.9,0.9319,21.0,8.97,90.74,214.57,175.56,22.12,0.9327,8,1,1
287.33,98578.2,0.8994,23.97,8.16,98.73,193.61,138.1,22.02,0.9145,7,1,1
339.71,98000.0,0.903,28.78,9.12,100.0,250.0,177.47,28.23,0.9103,12,0,1
115.85,100041.8,0.6289,30.74,3.12,79.48,80.01,47.41,32.37,0.6021,8,1,1
168.29,99661.4,0.7356,22.39,3.7,82.38,92.81,74.95,22.87,0.7298,9,1,1
217.23,98966.3,0.8141,28.91,5.8,89.64,170.99,141.16,27.39,0.8004,8,1,1
259.71,99198.2,0.8525,32.61,8.3,89.09,214.48,125.56,30.99,0.8475,6,1,1
319.23,98472.7,0.9373,20.0,11.03,100.0,222.85,169.46,20.4,0.9464,7,1,1
243.44,99303.1,0.8709,22.46,8.77,87.11,162.52,126.83,20.51,0.8812,7,1,1
227.08,99200.6,0.7852,28.07,3.63,91.73,181.92,107.53,28.2,0.7941,5,0,1
175.33,99169.5,0.7557,32.97,4.9,85.19,120.81,74.42,34.72,0.7659,6,1,1
26.05,100500.0,0.3327,21.4,1.58,58.28,13.04,9.56,21.29,0.3272,3,0,0
12.89,100943.3,0.2043,37.43,0.0,50.18,10.16,8.55,35.68,0.1981,5,0,0
167.69,100159.8,0.716,20.0,4.94,83.22,117.63,93.9,20.08,0.694,7,1,1
202.05,99400.1,0.7593,28.97,7.58,85.6,116.23,97.93,27.77,0.7827,7,1,1
141.01,99798.0,0.7121,33.47,4.4,82.51,84.1,58.45,34.71,0.7337,9,1,1
27.62,100500.0,0.35,31.1,2.78,63.81,19.18,9.63,29.18,0.3331,9,1,0
22.23,100905.7,0.2645,21.4,3.48,57.16,13.58,8.84,23.21,0.2583,9,1,0
83.49,100035.2,0.6,24.73,3.0,76.61,62.71,45.19,26.19,0.5845,9,1,1
316.25,98580.7,0.9227,25.15,9.83,97.99,241.64,172.68,26.28,0.9127,7,1,1
8.79,101325.2,0.1493,37.98,0.29,36.62,6.6,3.64,39.72,0.1516,2,0,0
222.17,98841.3,0.7707,33.68,5.93,86.17,179.54,122.5,32.01,0.7705,11,0,1
8.44,102666.2,0.1611,22.0,0.71,38.3,6.84,5.82,22.28,0.1429,1,0,0
92.08,99964.4,0.6,20.11,3.03,79.62,76.28,55.02,21.63,0.5832,5,0,1
21.7,101385.7,0.2479,30.67,2.32,54.31,15.03,8.79,30.09,0.228,6,1,0
14.58,101504.8,0.2062,21.4,0.8,48.39,12.48,8.97,21.41,0.2118,2,0,0
16.3,101100.1,0.2098,32.46,2.18,45.58,8.56,6.75,30.85,0.1922,3,0,0
17.19,100500.0,0.1939,18.1,2.27,45.98,14.07,9.83,17.8,0.2023,11,0,0
217.31,98996.4,0.7736,21.44,6.49,85.44,136.47,115.93,19.49,0.7562,12,0,1
169.13,100093.6,0.6795,31.35,5.63,81.58,136.54,105.68,31.83,0.654,6,1,1
24.85,101236.4,0.3161,30.02,2.95,60.05,16.82,12.77,31.91,0.3025,9,1,0
2.82,101521.6,0.1088,24.61,0.85,23.11,1.79,1.47,22.64,0.0995,8,1,0
280.96,98544.6,0.8504,23.7,7.7,90.88,197.79,143.98,24.89,0.8535,9,1,1
301.67,98000.0,0.8365,33.55,8.69,96.48,213.57,136.24,35.39,0.8101,9,1,1
22.56,101087.4,0.251,37.88,0.49,55.85,17.1,10.39,37.14,0.2496,5,0,0
29.2,101192.5,0.348,21.81,1.99,64.47,19.25,15.0,22.99,0.3549,11,0,0
14.17,101603.2,0.2199,21.34,1.69,40.95,7.54,5.65,23.04,0.2021,12,0,0
199.73,98950.1,0.7637,27.8,4.53,85.87,147.24,122.12,28.2,0.7832,8,1,1
6.39,102290.8,0.1539,18.42,0.43,35.66,3.61,2.71,18.19,0.1488,9,1,0
183.25,99721.3,0.7772,26.35,6.73,82.51,152.73,113.32,26.87,0.7528,3,0,1
17.23,101449.5,0.2202,37.69,1.69,44.06,14.33,8.7,39.15,0.2326,6,1,0
133.05,99666.0,0.6557,25.59,4.4,83.75,91.77,58.99,25.19,0.6776,8,1,1
274.87,98786.3,0.8621,20.75,8.57,89.69,218.15,130.12,21.35,0.8553,6,1,1
21.32,101245.6,0.2429,24.34,1.19,58.86,14.28,9.89,24.51,0.2461,4,0,0
17.6,100932.6,0.2548,31.27,1.4,45.73,15.56,10.46,32.61,0.2526,3,0,0
19.3,100737.1,0.2275,33.98,1.74,53.42,12.26,9.31,35.89,0.2468,10,0,0
25.7,101071.3,0.3267,19.24,3.89,61.95,15.27,13.68,19.61,0.3446,3,0,0
21.99,101633.0,0.2772,18.98,1.62,53.63,11.79,10.51,19.15,0.2727,3,0,0
25.8,100500.0,0.3113,35.68,3.94,60.69,13.46,9.63,36.12,0.3211,11,0,0
239.32,99142.9,0.8142,24.94,7.23,91.38,132.01,95.81,23.95,0.817,9,1,1
269.71,98781.6,0.8494,27.25,5.11,96.85,202.38,139.45,27.78,0.8593,6,1,1
10.38,101914.0,0.1906,19.73,0.36,38.7,6.04,3.99,21.58,0.1747,6,1,0
262.78,98473.3,0.839,33.55,6.32,92.22,220.07,124.48,35.08,0.8231,10,0,1
143.5,100500.0,0.6883,32.29,3.0,78.51,103.34,87.41,33.84,0.7062,7,1,1
188.99,99590.4,0.7034,31.31,6.51,86.14,127.66,70.95,32.05,0.7027,9,1,1
25.83,100853.7,0.3257,36.56,1.55,65.26,20.0,14.22,37.03,0.3219,11,0,0
280.07,98866.4,0.8218,22.5,8.26,96.9,190.25,153.61,23.12,0.8342,7,1,1
16.97,101862.9,0.2217,24.2,0.0,53.78,9.8,7.42,24.89,0.2176,10,0,0
10.93,101312.0,0.1834,36.0,0.9,43.13,7.14,6.28,37.73,0.1913,6,1,0
19.06,101237.9,0.2318,36.69,2.99,51.58,12.53,9.52,36.77,0.2152,6,1,0
209.14,98906.0,0.7747,33.61,8.11,84.19,176.93,122.93,34.51,0.767,6,1,1
133.75,100063.5,0.6816,27.32,5.49,79.37,88.75,61.54,28.87,0.6606,9,1,1
269.32,98733.5,0.8732,22.41,7.42,89.33,153.68,102.88,20.75,0.8877,12,0,1
136.73,99609.9,0.6489,29.69,3.0,78.83,90.18,56.28,28.26,0.6496,9,1,1
293.35,98523.5,0.8744,23.95,5.52,94.15,175.5,128.94,24.34,0.8858,4,0,1
9.39,101923.1,0.1533,35.16,1.48,38.34,8.15,4.53,35.02,0.1698,5,0,0
18.22,101113.3,0.2615,31.36,2.86,44.49,11.98,9.83,30.99,0.2486,10,0,0
16.9,101397.0,0.2285,29.78,0.8,47.22,9.1,7.54,28.33,0.2465,3,0,0
161.93,99184.0,0.7506,28.34,5.63,77.17,120.39,77.56,28.68,0.7429,6,1,1
302.69,98875.7,0.8643,25.49,4.51,93.0,211.63,165.46,24.12,0.8597,1,0,1
279.92,98490.9,0.8871,22.15,6.69,84.89,162.62,122.56,22.42,0.9057,8,1,1
345.04,98000.0,0.9445,25.01,11.07,100.0,247.24,180.0,25.33,0.9306,12,0,1
13.12,101455.5,0.1878,26.89,2.03,38.9,10.74,7.08,25.43,0.1825,9,1,0
106.24,99806.1,0.636,26.12,3.0,79.78,70.94,45.47,27.82,0.6322,9,1,1
311.26,98681.2,0.8672,21.41,6.57,96.85,211.17,176.84,22.78,0.8417,9,1,1
175.91,99933.8,0.7389,32.05,4.46,80.94,148.63,104.04,31.9,0.7237,7,1,1
254.31,98765.6,0.8024,24.04,7.69,90.28,152.96,107.36,25.51,0.7779,6,1,1
136.45,99918.9,0.6978,33.36,3.51,81.71,95.63,80.18,33.79,0.6961,9,1,1
19.91,101020.9,0.2451,34.74,2.96,57.47,14.12,11.71,34.97,0.2382,6,1,0
113.3,100500.0,0.6478,20.71,3.36,75.71,95.26,71.15,18.98,0.6261,8,1,1
1.37,102552.9,0.0995,25.86,0.0,22.54,0.94,0.74,24.34,0.0875,1,0,0
192.81,99816.1,0.7475,29.2,6.38,85.96,156.25,101.44,28.99,0.7642,2,0,1
138.64,100306.9,0.6835,29.85,4.34,76.94,94.22,57.58,31.52,0.7078,9,1,1
25.86,100955.4,0.3442,36.1,4.4,63.6,20.0,15.0,36.35,0.3258,11,0,0
144.11,99891.4,0.7167,29.25,3.0,80.63,102.02,75.26,29.06,0.6919,7,1,1
6.79,101573.8,0.1186,19.96,0.41,26.89,4.63,3.71,18.84,0.1065,7,1,0
199.23,99249.7,0.6966,27.87,5.36,86.43,126.99,87.82,29.51,0.6833,6,1,1
14.72,101437.0,0.2277,35.8,0.62,48.05,13.1,8.43,37.6,0.2298,12,0,0
263.01,98508.5,0.8656,24.03,8.74,89.82,146.54,112.77,25.89,0.8932,7,1,1
22.85,101085.8,0.2576,22.88,3.46,55.96,14.17,10.01,22.55,0.2686,12,0,0
29.43,101306.1,0.3448,28.01,3.0,70.0,20.0,15.0,28.26,0.3507,3,0,0
1.38,102806.0,0.1208,34.32,0.9,20.0,0.83,0.59,32.99,0.1215,5,0,0
8.86,102337.1,0.1596,22.48,0.61,38.06,5.84,4.88,20.53,0.1774,9,1,0
305.73,98590.2,0.8599,32.29,4.71,97.47,244.52,180.0,33.07,0.8391,9,1,1
26.16,100650.6,0.3383,32.89,0.54,70.0,20.0,15.0,32.45,0.3291,5,0,0
299.02,98000.0,0.8995,27.62,9.44,93.5,241.1,180.0,25.78,0.912,8,1,1
24.0,100997.5,0.3114,22.08,0.84,59.95,20.0,11.16,21.13,0.3271,2,0,0
137.11,99529.6,0.6367,32.09,4.56,80.66,93.3,69.1,30.93,0.6588,7,1,1
14.43,101098.2,0.1841,35.5,1.26,43.93,7.65,6.79,36.2,0.173,11,0,0
2.83,102370.2,0.1042,23.95,0.26,23.77,2.53,1.41,22.75,0.1211,8,1,0
137.92,99507.2,0.6747,26.5,3.58,77.17,80.2,67.18,26.63,0.6946,8,1,1
17.02,101032.2,0.2123,37.18,0.0,51.66,10.48,7.68,36.1,0.197,12,0,0
1.85,102541.5,0.106,30.9,0.0,20.0,1.49,1.24,31.19,0.1147,10,0,0
9.96,101839.7,0.1417,27.29,1.33,37.16,6.81,4.25,28.76,0.1339,2,0,0
281.97,98416.8,0.8649,20.0,8.46,93.57,197.85,130.57,20.22,0.8922,9,1,1
23.25,100814.6,0.2492,19.92,1.56,60.89,13.3,9.33,21.59,0.2337,10,0,0
22.67,101507.2,0.2853,22.55,1.92,58.89,12.9,6.66,24.29,0.2728,3,0,0
88.4,100430.4,0.6,21.48,3.38,79.14,58.49,42.92,22.5,0.5848,9,1,1
219.15,99137.6,0.766,23.44,8.7,88.43,157.56,111.03,23.34,0.7621,8,1,1
317.91,98517.6,0.919,24.66,7.85,98.63,228.0,180.0,22.82,0.9447,11,0,1
0.92,103000.0,0.08,35.33,0.2,20.0,0.68,0.57,33.82,0.065,4,0,0
5.12,101764.8,0.1404,28.26,0.57,28.13,3.82,3.15,26.85,0.1534,6,1,0
14.58,101230.8,0.1386,34.78,0.9,43.72,7.75,6.81,36.49,0.1453,3,0,0
22.74,100925.5,0.307,35.99,0.55,59.42,17.67,13.17,35.73,0.3227,10,0,0
116.76,100007.6,0.6374,23.26,3.54,75.36,72.99,44.91,21.5,0.659,8,1,1
239.62,99007.0,0.8537,27.82,4.59,91.53,165.0,132.64,28.13,0.8603,6,1,1
27.56,100500.0,0.3276,33.78,3.69,64.02,20.0,10.89,32.25,0.3339,11,0,0
8.64,101436.8,0.1611,28.63,0.96,37.24,6.57,3.54,29.16,0.1418,3,0,0
18.73,101086.0,0.2544,36.71,2.85,54.16,11.21,8.97,38.46,0.2444,2,0,0
